 48.4000 -124.7000
 48.4050 -124.7000
 48.4100 -124.7000
 48.4150 -124.7000
 48.4200 -124.7000
 48.4250 -124.7000
 48.4300 -124.7000
 48.4350 -124.7000
 48.4400 -124.7000
 48.4450 -124.7000
 48.4500 -124.7000
 48.4550 -124.7000
 48.4600 -124.7000
 48.4650 -124.7000
 48.4700 -124.7000
 48.4750 -124.7000
 48.4800 -124.7000
 48.4850 -124.7000
 48.4900 -124.7000
 48.4950 -124.7000
 48.5000 -124.7000
 48.5050 -124.7000
 48.5100 -124.7000
 48.5150 -124.7000
 48.5200 -124.7000
 48.5250 -124.7000
 48.5300 -124.7000
 48.5350 -124.7000
 48.5400 -124.7000
 48.5450 -124.7000
 48.5500 -124.7000
 48.5550 -124.7000
 48.5600 -124.7000
 48.5650 -124.7000
 48.5700 -124.7000
 48.5750 -124.7000
 48.5800 -124.7000
 48.5850 -124.7000
 49.9400 -125.1800
 49.9400 -125.1725
 49.9400 -125.1650
 49.9400 -125.1575
 49.9400 -125.1500
 49.9400 -125.1425
 49.9400 -125.1350
 49.9400 -125.1275
 49.9400 -125.1200
 49.9400 -125.1125
 49.9400 -125.1050
 49.9400 -125.0975
 49.9400 -125.0900
 49.9400 -125.0825
 49.9400 -125.0750
 49.9400 -125.0675
 49.9400 -125.0600
 49.9400 -125.0525
 49.9400 -125.0450
 49.9400 -125.0375
 49.9400 -125.0300
 49.9400 -125.0225
 49.9400 -125.0150
 49.9400 -125.0075
 49.9400 -125.0000
 49.9400 -124.9925
 49.9400 -124.9850
 49.9400 -124.9775
 49.9400 -124.9700
 49.9400 -124.9625
 49.9400 -124.9550
 49.9400 -124.9475
 49.9400 -124.9400
 49.9400 -124.9325
 49.9400 -124.9250
 49.9400 -124.9175
 49.9400 -124.9100
 49.9400 -124.9025
 49.9400 -124.8950
 49.9400 -124.8875
 49.9400 -124.8800
 49.9400 -124.8725
 49.9400 -124.7525
 49.9400 -124.7450
 49.9400 -124.7375
 49.9400 -124.7300
 49.9400 -124.7225
 49.9400 -124.7150
